Pos      Prof       R (d)    R (i)    Rstima
37.      12.5     -2.02472      nan -2.02472
37.      12.5          nan -0.00392 -0.00392
39.      12.5     -0.31231      nan -0.31231
39.      12.5          nan -0.01257 -0.01257
41.     12.5    -0.0016     nan -0.0016
43.      12.5     -0.11846      nan -0.11846
45.      12.5     -0.06697      nan -0.06697
47.      12.5     -0.08123      nan -0.08123
49.      12.5     -0.03901      nan -0.03901
51.      12.5     -0.00602      nan -0.00602
53.      12.5     -0.00529      nan -0.00529
55.      12.5     -0.00156      nan -0.00156
57.      12.5     -0.00267      nan -0.00267
59.      12.5     -0.00349      nan -0.00349
61.      12.5     -0.00059      nan -0.00059
61.      12.5          nan -2.48954 -2.48954
63.      12.5     -0.00128      nan -0.00128
63.      12.5          nan -3.19265 -3.19265
65.      12.5          nan -0.58266 -0.58266
67.      12.5          nan -0.43747 -0.43747
69.      12.5          nan -0.82109 -0.82109
71.      12.5          nan -0.98291 -0.98291
73.      12.5          nan -0.44183 -0.44183
77.      12.5          nan -0.09422 -0.09422
79.      12.5          nan -0.06977 -0.06977
81.      12.5          nan -0.01588 -0.01588
18.      13.           nan -0.04974 -0.04974
22.      13.           nan -0.03659 -0.03659
26.      13.           nan -0.02443 -0.02443
30.      13.           nan -0.06112 -0.06112
34.      13.      -0.24146      nan -0.24146
34.      13.           nan -0.01203 -0.01203
38.      13.      -3.34619      nan -3.34619
38.      13.           nan -0.00389 -0.00389
42.      13.      -0.39234      nan -0.39234
46.      13.      -0.14637      nan -0.14637
50.      13.      -0.04226      nan -0.04226
54.      13.      -0.01662      nan -0.01662
58.     13.     -0.0036     nan -0.0036
62.      13.      -0.00776      nan -0.00776
62.      13.           nan -0.30002 -0.30002
66.      13.      -0.01153      nan -0.01153
66.      13.           nan -2.41096 -2.41096
70.      13.           nan -1.76658 -1.76658
74.      13.           nan -0.62088 -0.62088
78.      13.           nan -0.00343 -0.00343
34.     15.     -0.4684     nan -0.4684
42.     15.     -0.4389     nan -0.4389
50.     15.     -0.0548     nan -0.0548
58.      15.      -0.01165      nan -0.01165
66.      15.      -0.04227      nan -0.04227
20.      16.           nan -0.05481 -0.05481
28.      16.           nan -0.04061 -0.04061
36.      16.           nan -0.01508 -0.01508
44.      16.           nan -0.00145 -0.00145
68.      16.           nan -3.94644 -3.94644
22.      17.           nan -0.04689 -0.04689
26.      17.           nan -0.03161 -0.03161
30.     17.     -0.2541     nan -0.2541
34.      17.      -2.96569      nan -2.96569
34.      17.           nan -0.01316 -0.01316
38.      17.      -0.25137      nan -0.25137
38.     17.         nan -0.0175 -0.0175
42.      17.      -0.13542      nan -0.13542
42.      17.           nan -0.00768 -0.00768
46.      17.      -0.03839      nan -0.03839
50.      17.      -0.02271      nan -0.02271
58.      17.      -0.00051      nan -0.00051
66.      17.      -0.00337      nan -0.00337
66.      17.           nan -0.31422 -0.31422
70.      17.      -0.03063      nan -0.03063
70.     17.         nan -3.9097 -3.9097
74.      17.           nan -1.45711 -1.45711
30.      19.      -0.71735      nan -0.71735
38.     19.     -0.3549     nan -0.3549
46.      19.      -0.05863      nan -0.05863
62.      19.      -0.00906      nan -0.00906
24.      20.           nan -0.01389 -0.01389
32.      20.           nan -0.05121 -0.05121
26.      21.      -0.15668      nan -0.15668
26.      21.           nan -0.00109 -0.00109
30.      21.      -4.59514      nan -4.59514
30.      21.           nan -0.00899 -0.00899
34.      21.      -0.53459      nan -0.53459
34.      21.           nan -0.06226 -0.06226
38.      21.      -0.12564      nan -0.12564
42.      21.      -0.02773      nan -0.02773
46.      21.      -0.02453      nan -0.02453
46.      21.           nan -0.00699 -0.00699
50.      21.      -0.01142      nan -0.01142
62.     21.     -0.0102     nan -0.0102
66.      21.      -0.00296      nan -0.00296
70.      21.           nan -0.29613 -0.29613
